id,start,end,maxspeed
l_id0,n_id0,n_id1,0
l_id1,n_id1,n_id2,0
l_id2,n_id2,n_id3,0
l_id3,n_id3,n_id4,0
l_id4,n_id4,n_id5,0
l_id5,n_id5,n_id6,0
l_id6,n_id6,n_id7,0
l_id7,n_id7,n_id8,0
l_id8,n_id8,n_id9,0
l_id9,n_id2,n_id10,0
l_id10,n_id10,n_id11,0
l_id11,n_id11,n_id12,0
l_id12,n_id12,n_id13,0
l_id13,n_id13,n_id14,0
l_id14,n_id14,n_id15,0
l_id15,n_id15,n_id16,0
l_id16,n_id16,n_id17,0
l_id17,n_id17,n_id18,0
l_id18,n_id18,n_id19,0
l_id19,n_id19,n_id20,0
l_id20,n_id20,n_id21,0
l_id21,n_id21,n_id22,0
l_id22,n_id22,n_id23,0
l_id23,n_id23,n_id24,0
l_id24,n_id24,n_id25,0
l_id25,n_id26,n_id27,0
l_id26,n_id27,n_id28,0
l_id27,n_id28,n_id29,0
l_id28,n_id29,n_id30,0
l_id29,n_id30,n_id31,0
l_id30,n_id31,n_id32,0
l_id31,n_id32,n_id33,0
l_id32,n_id33,n_id34,0
l_id33,n_id34,n_id35,0
l_id34,n_id35,n_id36,0
l_id35,n_id36,n_id37,0
l_id36,n_id37,n_id38,0
l_id37,n_id38,n_id39,0
l_id38,n_id39,n_id40,0
l_id39,n_id40,n_id41,0
l_id40,n_id41,n_id42,0
l_id41,n_id42,n_id43,0
l_id42,n_id43,n_id44,0
l_id43,n_id44,n_id45,0
l_id44,n_id45,n_id46,0
l_id45,n_id46,n_id47,0
l_id46,n_id47,n_id24,0
l_id47,n_id0,n_id48,0
l_id48,n_id48,n_id49,0
l_id49,n_id49,n_id50,0
l_id50,n_id50,n_id51,0
l_id51,n_id51,n_id52,0
l_id52,n_id52,n_id53,0
l_id53,n_id53,n_id54,0
l_id54,n_id54,n_id55,0
l_id55,n_id55,n_id56,0
l_id56,n_id56,n_id57,0
l_id57,n_id57,n_id58,0
l_id58,n_id58,n_id59,0
l_id59,n_id59,n_id60,0
l_id60,n_id60,n_id61,0
l_id61,n_id61,n_id62,0
l_id62,n_id62,n_id63,0
l_id63,n_id63,n_id64,0
l_id64,n_id64,n_id65,0
l_id65,n_id65,n_id66,0
l_id66,n_id66,n_id67,0
l_id67,n_id67,n_id68,0
l_id68,n_id68,n_id69,0
l_id69,n_id69,n_id70,0
l_id70,n_id70,n_id71,0
l_id71,n_id71,n_id72,0
l_id72,n_id72,n_id73,0
l_id73,n_id73,n_id74,0
l_id74,n_id74,n_id75,0
l_id75,n_id75,n_id76,0
l_id76,n_id76,n_id77,0
l_id77,n_id78,n_id79,0
l_id78,n_id79,n_id80,0
l_id79,n_id80,n_id81,0
l_id80,n_id81,n_id82,0
l_id81,n_id82,n_id83,0
l_id82,n_id83,n_id84,0
l_id83,n_id84,n_id85,0
l_id84,n_id85,n_id86,0
l_id85,n_id86,n_id87,0
l_id86,n_id87,n_id88,0
l_id87,n_id88,n_id89,0
l_id88,n_id89,n_id90,0
l_id89,n_id90,n_id91,0
l_id90,n_id91,n_id92,0
l_id91,n_id92,n_id93,0
l_id92,n_id93,n_id94,0
l_id93,n_id94,n_id95,0
l_id94,n_id95,n_id96,0
l_id95,n_id96,n_id97,0
l_id96,n_id97,n_id98,0
l_id97,n_id98,n_id99,0
l_id98,n_id99,n_id100,0
l_id99,n_id100,n_id101,0
